order_id,injected_issue
UNKNOWN-6177,UNLINKED_DEDUCTION
ORD-10128,
ORD-10129,
ORD-10130,
ORD-10131,
ORD-10132,
ORD-10133,
ORD-10134,
ORD-10135,
ORD-10136,
ORD-10137,
ORD-10138,
ORD-10139,TDS_MISMATCH
ORD-10140,
ORD-10141,
ORD-10142,DUPLICATE_UTR
ORD-10143,
ORD-10144,WRONG_MDR_TIER
ORD-10145,
ORD-10146,TIMING_DRIFT
ORD-10147,
ORD-10148,
ORD-10149,
ORD-10150,
ORD-10151,
ORD-10152,SPLIT_SETTLEMENT
ORD-10153,DUPLICATE_UTR
ORD-10154,
ORD-10155,
ORD-10156,TIMING_DRIFT
ORD-10157,DUPLICATE_UTR
ORD-10158,
ORD-10159,
ORD-10160,
ORD-10161,
ORD-10162,
ORD-10163,
ORD-10164,
ORD-10165,
ORD-10166,
ORD-10167,TDS_MISMATCH
ORD-10168,
ORD-10169,
ORD-10170,
ORD-10171,
ORD-10172,
ORD-10173,
ORD-10174,
ORD-10175,
ORD-10176,
ORD-10177,GST_ROUNDING_DELTA
ORD-10178,
ORD-10179,
ORD-10180,
ORD-10181,
ORD-10182,
ORD-10183,
ORD-10184,
ORD-10185,
ORD-10186,
ORD-10187,
ORD-10188,
ORD-10189,
ORD-10190,
ORD-10191,
ORD-10192,
ORD-10193,
ORD-10194,
ORD-10195,
ORD-10196,
ORD-10197,
ORD-10198,
ORD-10199,
ORD-10200,
ORD-10201,
ORD-10202,
ORD-10203,
ORD-10204,
ORD-10205,
ORD-10206,
ORD-10207,
ORD-10208,
ORD-10209,
ORD-10210,
ORD-10211,
ORD-10212,DUPLICATE_UTR
ORD-10213,
ORD-10214,
ORD-10215,
ORD-10216,
ORD-10217,
ORD-10218,
ORD-10219,
ORD-10220,
ORD-10221,
ORD-10222,
ORD-10223,
ORD-10224,
ORD-10225,
ORD-10226,
ORD-10227,
ORD-10228,
ORD-10229,
ORD-10230,
ORD-10231,
ORD-10232,
ORD-10233,
ORD-10234,
ORD-10235,
ORD-10236,WRONG_MDR_TIER
ORD-10237,
ORD-10238,
ORD-10239,
ORD-10240,
ORD-10241,
ORD-10242,
ORD-10243,
ORD-10244,
ORD-10245,
ORD-10246,
ORD-10247,
ORD-10248,
ORD-10249,
ORD-10250,
ORD-10251,
ORD-10252,
ORD-10253,
ORD-10254,
ORD-10255,
ORD-10256,
ORD-10257,DUPLICATE_UTR
ORD-10258,
ORD-10259,
ORD-10260,
ORD-10261,
ORD-10262,
ORD-10263,DUPLICATE_UTR
ORD-10264,
ORD-10265,
ORD-10266,
ORD-10267,
ORD-10268,
ORD-10269,
ORD-10270,
ORD-10271,
ORD-10272,
ORD-10273,DUPLICATE_UTR
ORD-10274,
ORD-10275,
ORD-10276,
ORD-10277,
ORD-10278,TIMING_DRIFT
ORD-10279,
ORD-10280,
ORD-10281,
ORD-10282,
ORD-10283,DUPLICATE_UTR
ORD-10284,
ORD-10285,
ORD-10286,
ORD-10287,SPLIT_SETTLEMENT
ORD-10288,
ORD-10289,DUPLICATE_UTR
ORD-10290,
ORD-10291,
ORD-10292,DUPLICATE_UTR
ORD-10293,
ORD-10294,
ORD-10295,
ORD-10296,
ORD-10297,
ORD-10298,
ORD-10299,
ORD-10300,
ORD-10301,
ORD-10302,
ORD-10303,
ORD-10304,
ORD-10305,
ORD-10306,
ORD-10307,DUPLICATE_UTR
ORD-10308,
ORD-10309,GST_ROUNDING_DELTA
ORD-10310,
ORD-10311,
ORD-10312,
ORD-10313,
ORD-10314,TIMING_DRIFT
ORD-10315,
ORD-10316,GST_ROUNDING_DELTA
ORD-10317,DUPLICATE_UTR
ORD-10318,
ORD-10319,
ORD-10320,
ORD-10321,
ORD-10322,
ORD-10323,
ORD-10324,
ORD-10325,
ORD-10326,
ORD-10327,
ORD-10328,
ORD-10329,
ORD-10330,
ORD-10331,
ORD-10332,
ORD-10333,
ORD-10334,
ORD-10335,
ORD-10336,
ORD-10337,
ORD-10338,
ORD-10339,TIMING_DRIFT
ORD-10340,
ORD-10341,TDS_MISMATCH
ORD-10342,
ORD-10343,
ORD-10344,
UNKNOWN-7510,UNLINKED_DEDUCTION
ORD-10346,
ORD-10347,
ORD-10348,
ORD-10349,
ORD-10350,
ORD-10351,
ORD-10352,
ORD-10353,
ORD-10354,
ORD-10355,
ORD-10356,
ORD-10357,
ORD-10358,
ORD-10359,
ORD-10360,
ORD-10361,
ORD-10362,
ORD-10363,
ORD-10364,
ORD-10365,
ORD-10366,
ORD-10367,
ORD-10368,
ORD-10369,DUPLICATE_UTR
ORD-10370,TIMING_DRIFT
ORD-10371,
ORD-10372,
ORD-10373,TIMING_DRIFT
ORD-10374,
UNKNOWN-5376,UNLINKED_DEDUCTION
ORD-10376,
ORD-10377,
ORD-10378,
ORD-10379,
ORD-10380,
ORD-10381,
ORD-10382,
ORD-10383,
ORD-10384,TIMING_DRIFT
ORD-10385,TIMING_DRIFT
ORD-10386,
ORD-10387,
ORD-10388,SPLIT_SETTLEMENT
ORD-10389,
ORD-10390,
ORD-10391,
ORD-10392,
ORD-10393,
ORD-10394,
ORD-10395,
ORD-10396,
ORD-10397,
ORD-10398,
ORD-10399,
ORD-10400,
ORD-10401,
ORD-10402,
UNKNOWN-1242,UNLINKED_DEDUCTION
ORD-10404,
ORD-10405,
ORD-10406,DUPLICATE_UTR
ORD-10407,
ORD-10408,
ORD-10409,
ORD-10410,GST_ROUNDING_DELTA
ORD-10411,
ORD-10412,
ORD-10413,
ORD-10414,
ORD-10415,
ORD-10416,
ORD-10417,
ORD-10418,
ORD-10419,
ORD-10420,
ORD-10421,
ORD-10422,
ORD-10423,
ORD-10424,
ORD-10425,
ORD-10426,DUPLICATE_UTR
ORD-10427,
ORD-10428,
ORD-10429,
ORD-10430,
ORD-10431,
ORD-10432,TIMING_DRIFT
ORD-10433,
ORD-10434,
ORD-10435,
ORD-10436,
ORD-10437,DUPLICATE_UTR
ORD-10438,
ORD-10439,
ORD-10440,
ORD-10441,DUPLICATE_UTR
ORD-10442,
ORD-10443,
ORD-10444,
ORD-10445,
ORD-10446,
ORD-10447,
ORD-10448,
ORD-10449,
ORD-10450,
ORD-10451,
ORD-10452,
ORD-10453,GST_ROUNDING_DELTA
ORD-10454,GST_ROUNDING_DELTA
ORD-10455,
ORD-10456,
ORD-10457,
ORD-10458,
ORD-10459,
ORD-10460,
ORD-10461,
ORD-10462,
ORD-10463,
ORD-10464,
ORD-10465,
ORD-10466,
ORD-10467,
ORD-10468,
ORD-10469,
ORD-10470,
ORD-10471,
ORD-10472,
ORD-10473,
ORD-10474,
ORD-10475,
ORD-10476,
ORD-10477,
ORD-10478,
ORD-10479,
ORD-10480,
ORD-10481,
ORD-10482,
ORD-10483,
ORD-10484,
ORD-10485,
ORD-10486,
ORD-10487,
ORD-10488,
ORD-10489,
ORD-10490,
ORD-10491,
ORD-10492,
ORD-10493,
ORD-10494,
ORD-10495,DUPLICATE_UTR
ORD-10496,
ORD-10497,
ORD-10498,
ORD-10499,WRONG_MDR_TIER
ORD-10500,
ORD-10501,
ORD-10502,
ORD-10503,
ORD-10504,
ORD-10505,
ORD-10506,DUPLICATE_UTR
ORD-10507,
ORD-10508,WRONG_MDR_TIER
ORD-10509,
ORD-10510,WRONG_MDR_TIER
ORD-10511,
ORD-10512,
ORD-10513,
ORD-10514,
ORD-10515,
ORD-10516,
ORD-10517,
ORD-10518,
ORD-10519,
ORD-10520,
ORD-10521,WRONG_MDR_TIER
ORD-10522,
ORD-10523,
ORD-10524,
ORD-10525,
ORD-10526,
ORD-10527,
ORD-10528,
ORD-10529,
ORD-10530,
ORD-10531,
ORD-10532,
ORD-10533,
ORD-10534,
ORD-10535,
ORD-10536,
ORD-10537,DUPLICATE_UTR
ORD-10538,
ORD-10539,
ORD-10540,
ORD-10541,
ORD-10542,
ORD-10543,
ORD-10544,
ORD-10545,
ORD-10546,TDS_MISMATCH
ORD-10547,
ORD-10548,
ORD-10549,
ORD-10550,DUPLICATE_UTR
ORD-10551,
ORD-10552,
ORD-10553,
ORD-10554,
ORD-10555,DUPLICATE_UTR
ORD-10556,DUPLICATE_UTR
UNKNOWN-9431,UNLINKED_DEDUCTION
ORD-10558,
ORD-10559,DUPLICATE_UTR
ORD-10560,
ORD-10561,
ORD-10562,
ORD-10563,
ORD-10564,
ORD-10565,
ORD-10566,
ORD-10567,DUPLICATE_UTR
ORD-10568,
ORD-10569,
ORD-10570,
ORD-10571,
UNKNOWN-8543,UNLINKED_DEDUCTION
ORD-10573,
ORD-10574,
ORD-10575,
ORD-10576,
ORD-10577,
ORD-10578,
ORD-10579,
ORD-10580,
ORD-10581,
ORD-10582,
ORD-10583,
ORD-10584,
ORD-10585,
ORD-10586,
ORD-10587,
ORD-10588,
ORD-10589,
ORD-10590,
ORD-10591,
ORD-10592,
ORD-10593,
ORD-10594,
ORD-10595,
ORD-10596,
ORD-10597,
ORD-10598,
ORD-10599,
ORD-10600,
ORD-10601,
ORD-10602,
ORD-10603,
ORD-10604,
ORD-10605,
ORD-10606,
ORD-10607,
ORD-10608,
ORD-10609,
ORD-10610,
ORD-10611,
ORD-10612,
ORD-10613,NEGATIVE_NET_PAYOUT
ORD-10614,WRONG_MDR_TIER
ORD-10615,
ORD-10616,
ORD-10617,
ORD-10618,
ORD-10619,
ORD-10620,
ORD-10621,
ORD-10622,
ORD-10623,
ORD-10624,
ORD-10625,
ORD-10626,
ORD-10627,
ORD-10628,
ORD-10629,WRONG_MDR_TIER
ORD-10630,
ORD-10631,
ORD-10632,
ORD-10633,
ORD-10634,
ORD-10635,
ORD-10636,
ORD-10637,
ORD-10638,
ORD-10639,
ORD-10640,
ORD-10641,
ORD-10642,
ORD-10643,
ORD-10644,
ORD-10645,
ORD-10646,DUPLICATE_UTR
ORD-10647,
ORD-10648,
ORD-10649,DUPLICATE_UTR
ORD-10650,
ORD-10651,DUPLICATE_UTR
ORD-10652,
ORD-10653,
ORD-10654,
ORD-10655,
ORD-10656,
ORD-10657,
ORD-10658,TIMING_DRIFT
ORD-10659,
ORD-10660,
ORD-10661,
ORD-10662,
ORD-10663,
ORD-10664,DUPLICATE_UTR
ORD-10665,
ORD-10666,
ORD-10667,
ORD-10668,
ORD-10669,
ORD-10670,
ORD-10671,
ORD-10672,
ORD-10673,
ORD-10674,
ORD-10675,
ORD-10676,
ORD-10677,
ORD-10678,
ORD-10679,
ORD-10680,
ORD-10681,DUPLICATE_UTR
ORD-10682,DUPLICATE_UTR
ORD-10683,
ORD-10684,
ORD-10685,
ORD-10686,
ORD-10687,DUPLICATE_UTR
ORD-10688,
ORD-10689,SPLIT_SETTLEMENT
ORD-10690,
ORD-10691,
ORD-10692,
ORD-10693,
ORD-10694,
ORD-10695,
ORD-10696,
ORD-10697,SPLIT_SETTLEMENT
ORD-10698,
ORD-10699,
ORD-10700,
ORD-10701,
ORD-10702,
ORD-10703,
ORD-10704,DUPLICATE_UTR
ORD-10705,
ORD-10706,
ORD-10707,DUPLICATE_UTR
ORD-10708,TIMING_DRIFT
ORD-10709,
ORD-10710,
ORD-10711,
ORD-10712,
ORD-10713,
ORD-10714,
ORD-10715,
ORD-10716,
ORD-10717,
ORD-10718,
ORD-10719,
ORD-10720,
ORD-10721,GST_ROUNDING_DELTA
ORD-10722,
ORD-10723,
ORD-10724,
ORD-10725,GST_ROUNDING_DELTA
ORD-10726,
ORD-10727,
ORD-10728,
ORD-10729,
ORD-10730,
ORD-10731,SPLIT_SETTLEMENT
ORD-10732,
ORD-10733,
ORD-10734,
ORD-10735,
ORD-10736,DUPLICATE_UTR
ORD-10737,
ORD-10738,
ORD-10739,
ORD-10740,DUPLICATE_UTR
ORD-10741,
ORD-10742,
ORD-10743,
ORD-10744,
ORD-10745,
ORD-10746,GST_ROUNDING_DELTA
ORD-10747,
ORD-10748,
ORD-10749,
ORD-10750,
ORD-10751,
ORD-10752,
ORD-10753,DUPLICATE_UTR
ORD-10754,
ORD-10755,
ORD-10756,
ORD-10757,
ORD-10758,
ORD-10759,
ORD-10760,
ORD-10761,
ORD-10762,
ORD-10763,
ORD-10764,
ORD-10765,DUPLICATE_UTR
ORD-10766,
ORD-10767,
ORD-10768,
ORD-10769,
ORD-10770,
ORD-10771,
ORD-10772,
ORD-10773,
ORD-10774,DUPLICATE_UTR
ORD-10775,
ORD-10776,TIMING_DRIFT
ORD-10777,
ORD-10778,
ORD-10779,
ORD-10780,
ORD-10781,
ORD-10782,
ORD-10783,TIMING_DRIFT
ORD-10784,
ORD-10785,
ORD-10786,
ORD-10787,
ORD-10788,
ORD-10789,DUPLICATE_UTR
ORD-10790,
ORD-10791,
ORD-10792,
ORD-10793,
ORD-10794,
UNKNOWN-4323,UNLINKED_DEDUCTION
ORD-10796,
ORD-10797,DUPLICATE_UTR
ORD-10798,
ORD-10799,
ORD-10800,
ORD-10801,
ORD-10802,
ORD-10803,
ORD-10804,
ORD-10805,
ORD-10806,
ORD-10807,
ORD-10808,GST_ROUNDING_DELTA
ORD-10809,
ORD-10810,
ORD-10811,
ORD-10812,TIMING_DRIFT
ORD-10813,
ORD-10814,
ORD-10815,
ORD-10816,DUPLICATE_UTR
ORD-10817,
ORD-10818,
ORD-10819,
ORD-10820,
ORD-10821,DUPLICATE_UTR
ORD-10822,DUPLICATE_UTR
ORD-10823,
ORD-10824,
ORD-10825,
ORD-10826,
ORD-10827,
ORD-10828,
ORD-10829,
ORD-10830,
ORD-10831,
ORD-10832,
ORD-10833,
ORD-10834,TDS_MISMATCH
ORD-10835,
ORD-10836,
ORD-10837,
ORD-10838,
ORD-10839,
ORD-10840,
ORD-10841,
ORD-10842,
ORD-10843,
ORD-10844,
ORD-10845,
ORD-10846,
ORD-10847,
ORD-10848,
ORD-10849,
ORD-10850,
ORD-10851,DUPLICATE_UTR
ORD-10852,DUPLICATE_UTR
ORD-10853,
ORD-10854,TDS_MISMATCH
ORD-10855,
ORD-10856,SPLIT_SETTLEMENT
ORD-10857,
UNKNOWN-2432,UNLINKED_DEDUCTION
ORD-10859,
ORD-10860,DUPLICATE_UTR
ORD-10861,
ORD-10862,
ORD-10863,
ORD-10864,
ORD-10865,
ORD-10866,
ORD-10867,
ORD-10868,DUPLICATE_UTR
ORD-10869,
ORD-10870,
ORD-10871,
ORD-10872,
ORD-10873,
ORD-10874,
ORD-10875,
ORD-10876,
ORD-10877,
ORD-10878,
ORD-10879,GST_ROUNDING_DELTA
ORD-10880,
ORD-10881,
ORD-10882,
ORD-10883,
ORD-10884,
ORD-10885,
ORD-10886,
ORD-10887,
ORD-10888,
ORD-10889,
ORD-10890,
ORD-10891,
ORD-10892,
ORD-10893,
ORD-10894,TIMING_DRIFT
ORD-10895,
ORD-10896,
ORD-10897,DUPLICATE_UTR
ORD-10898,
ORD-10899,
ORD-10900,
ORD-10901,
ORD-10902,
ORD-10903,
ORD-10904,
ORD-10905,
ORD-10906,
ORD-10907,
ORD-10908,
ORD-10909,
ORD-10910,
ORD-10911,
ORD-10912,
ORD-10913,
ORD-10914,
ORD-10915,
ORD-10916,
ORD-10917,
ORD-10918,
ORD-10919,
ORD-10920,
ORD-10921,
ORD-10922,
ORD-10923,
ORD-10924,
ORD-10925,
ORD-10926,
ORD-10927,DUPLICATE_UTR
ORD-10928,
ORD-10929,
ORD-10930,
ORD-10931,
ORD-10932,
ORD-10933,TIMING_DRIFT
ORD-10934,
ORD-10935,DUPLICATE_UTR
ORD-10936,
ORD-10937,
ORD-10938,
ORD-10939,
ORD-10940,
ORD-10941,
ORD-10942,
ORD-10943,
ORD-10944,
ORD-10945,
ORD-10946,
ORD-10947,
ORD-10948,
ORD-10949,
ORD-10950,
ORD-10951,
ORD-10952,DUPLICATE_UTR
ORD-10953,
ORD-10954,
ORD-10955,
ORD-10956,DUPLICATE_UTR
ORD-10957,
ORD-10958,
ORD-10959,
ORD-10960,
ORD-10961,
ORD-10962,DUPLICATE_UTR
ORD-10963,
ORD-10964,
ORD-10965,
ORD-10966,
ORD-10967,
ORD-10968,
ORD-10969,
ORD-10970,
ORD-10971,
ORD-10972,
ORD-10973,
ORD-10974,
ORD-10975,TDS_MISMATCH
ORD-10976,
ORD-10977,DUPLICATE_UTR
ORD-10978,
ORD-10979,
ORD-10980,
ORD-10981,
ORD-10982,
ORD-10983,
ORD-10984,
ORD-10985,
ORD-10986,TIMING_DRIFT
ORD-10987,
ORD-10988,
ORD-10989,
ORD-10990,
ORD-10991,
ORD-10992,
ORD-10993,
ORD-10994,DUPLICATE_UTR
ORD-10995,
ORD-10996,
ORD-10997,
ORD-10998,
ORD-10999,
ORD-11000,
ORD-11001,
ORD-11002,
ORD-11003,
ORD-11004,
ORD-11005,TIMING_DRIFT
ORD-11006,
ORD-11007,TIMING_DRIFT
ORD-11008,
ORD-11009,
ORD-11010,
ORD-11011,
ORD-11012,
ORD-11013,
ORD-11014,TIMING_DRIFT
ORD-11015,
ORD-11016,
ORD-11017,
ORD-11018,
ORD-11019,
ORD-11020,
ORD-11021,TIMING_DRIFT
ORD-11022,DUPLICATE_UTR
ORD-11023,WRONG_MDR_TIER
ORD-11024,
ORD-11025,
ORD-11026,
ORD-11027,DUPLICATE_UTR
ORD-11028,
ORD-11029,
ORD-11030,DUPLICATE_UTR
ORD-11031,WRONG_MDR_TIER
ORD-11032,
ORD-11033,
ORD-11034,
ORD-11035,
ORD-11036,
ORD-11037,
ORD-11038,
ORD-11039,DUPLICATE_UTR
ORD-11040,
UNKNOWN-2963,UNLINKED_DEDUCTION
ORD-11042,
ORD-11043,DUPLICATE_UTR
ORD-11044,
UNKNOWN-1837,UNLINKED_DEDUCTION
ORD-11046,
ORD-11047,
ORD-11048,
ORD-11049,
ORD-11050,
ORD-11051,
ORD-11052,
ORD-11053,
ORD-11054,
ORD-11055,
ORD-11056,DUPLICATE_UTR
ORD-11057,
ORD-11058,
ORD-11059,
ORD-11060,
ORD-11061,
ORD-11062,
ORD-11063,
ORD-11064,
ORD-11065,
ORD-11066,
ORD-11067,
ORD-11068,
ORD-11069,
ORD-11070,
ORD-11071,DUPLICATE_UTR
ORD-11072,
ORD-11073,
ORD-11074,
ORD-11075,
ORD-11076,
ORD-11077,
ORD-11078,
ORD-11079,
ORD-11080,
ORD-11081,
ORD-11082,DUPLICATE_UTR
ORD-11083,
ORD-11084,
ORD-11085,
ORD-11086,
ORD-11087,
ORD-11088,
ORD-11089,
ORD-11090,
ORD-11091,
ORD-11092,
ORD-11093,
ORD-11094,
ORD-11095,
ORD-11096,
ORD-11097,
ORD-11098,
ORD-11099,
ORD-11100,
ORD-11101,
ORD-11102,
ORD-11103,
ORD-11104,WRONG_MDR_TIER
ORD-11105,
ORD-11106,
ORD-11107,
ORD-11108,DUPLICATE_UTR
ORD-11109,
ORD-11110,
ORD-11111,
ORD-11112,
ORD-11113,
ORD-11114,
ORD-11115,
ORD-11116,
ORD-11117,
ORD-11118,
ORD-11119,
ORD-11120,
ORD-11121,
ORD-11122,
ORD-11123,
ORD-11124,
ORD-11125,
ORD-11126,
ORD-11127,
ORD-11128,
ORD-11129,
ORD-11130,
ORD-11131,
ORD-11132,
ORD-11133,
ORD-11134,
ORD-11135,
ORD-11136,
ORD-11137,
ORD-11138,
ORD-11139,GST_ROUNDING_DELTA
ORD-11140,
ORD-11141,
ORD-11142,
ORD-11143,
ORD-11144,
ORD-11145,
ORD-11146,
ORD-11147,
ORD-11148,DUPLICATE_UTR
ORD-11149,
ORD-11150,
ORD-11151,
ORD-11152,
ORD-11153,
ORD-11154,
ORD-11155,
ORD-11156,
ORD-11157,
ORD-11158,
ORD-11159,
ORD-11160,
ORD-11161,
ORD-11162,
ORD-11163,
ORD-11164,
ORD-11165,
ORD-11166,TIMING_DRIFT
ORD-11167,
ORD-11168,SPLIT_SETTLEMENT
ORD-11169,GST_ROUNDING_DELTA
ORD-11170,
ORD-11171,
ORD-11172,
ORD-11173,
ORD-11174,
ORD-11175,TIMING_DRIFT
ORD-11176,
ORD-11177,
ORD-11178,
ORD-11179,
ORD-11180,GST_ROUNDING_DELTA
ORD-11181,
ORD-11182,TIMING_DRIFT
ORD-11183,
ORD-11184,
ORD-11185,
ORD-11186,
ORD-11187,
ORD-11188,
ORD-11189,
ORD-11190,
ORD-11191,WRONG_MDR_TIER
UNKNOWN-9907,UNLINKED_DEDUCTION
ORD-11193,DUPLICATE_UTR
ORD-11194,
ORD-11195,
ORD-11196,
ORD-11197,GST_ROUNDING_DELTA
ORD-11198,
ORD-11199,
ORD-11200,
ORD-11201,DUPLICATE_UTR
ORD-11202,
ORD-11203,
ORD-11204,WRONG_MDR_TIER
ORD-11205,
ORD-11206,
ORD-11207,
ORD-11208,
ORD-11209,
ORD-11210,
ORD-11211,
ORD-11212,
ORD-11213,
ORD-11214,TIMING_DRIFT
ORD-11215,
ORD-11216,
ORD-11217,
ORD-11218,
ORD-11219,
ORD-11220,
ORD-11221,
ORD-11222,
ORD-11223,
ORD-11224,
ORD-11225,DUPLICATE_UTR
ORD-11226,DUPLICATE_UTR
ORD-11227,
ORD-11228,
ORD-11229,
ORD-11230,
ORD-11231,
ORD-11232,
ORD-11233,
ORD-11234,DUPLICATE_UTR
ORD-11235,
ORD-11236,
ORD-11237,
ORD-11238,TIMING_DRIFT
ORD-11239,
ORD-11240,DUPLICATE_UTR
ORD-11241,DUPLICATE_UTR
ORD-11242,TIMING_DRIFT
ORD-11243,
ORD-11244,
ORD-11245,
ORD-11246,
ORD-11247,
ORD-11248,
ORD-11249,
ORD-11250,
ORD-11251,
ORD-11252,
ORD-11253,SPLIT_SETTLEMENT
ORD-11254,
ORD-11255,
ORD-11256,
ORD-11257,
ORD-11258,
UNKNOWN-5572,UNLINKED_DEDUCTION
ORD-11260,
ORD-11261,
ORD-11262,
ORD-11263,
ORD-11264,
ORD-11265,
ORD-11266,
ORD-11267,
ORD-11268,
ORD-11269,
ORD-11270,DUPLICATE_UTR
ORD-11271,TIMING_DRIFT
ORD-11272,
ORD-11273,
ORD-11274,
ORD-11275,
ORD-11276,
ORD-11277,
ORD-11278,
ORD-11279,TIMING_DRIFT
ORD-11280,
ORD-11281,
ORD-11282,
ORD-11283,
ORD-11284,
ORD-11285,
ORD-11286,
ORD-11287,
ORD-11288,
ORD-11289,
ORD-11290,
ORD-11291,
ORD-11292,TDS_MISMATCH
ORD-11293,
ORD-11294,
ORD-11295,DUPLICATE_UTR
ORD-11296,
ORD-11297,
ORD-11298,
ORD-11299,
ORD-11300,
ORD-11301,
ORD-11302,
ORD-11303,
ORD-11304,
ORD-11305,
ORD-11306,TIMING_DRIFT
ORD-11307,DUPLICATE_UTR
ORD-11308,
ORD-11309,TIMING_DRIFT
ORD-11310,WRONG_MDR_TIER
ORD-11311,
ORD-11312,
ORD-11313,
ORD-11314,
ORD-11315,TDS_MISMATCH
ORD-11316,
ORD-11317,SPLIT_SETTLEMENT
ORD-11318,
ORD-11319,
ORD-11320,
ORD-11321,
ORD-11322,
ORD-11323,
ORD-11324,
ORD-11325,
ORD-11326,
ORD-11327,
ORD-11328,SPLIT_SETTLEMENT
ORD-11329,
ORD-11330,
ORD-11331,TIMING_DRIFT
ORD-11332,
ORD-11333,
ORD-11334,
ORD-11335,
ORD-11336,
ORD-11337,
ORD-11338,
ORD-11339,
ORD-11340,
ORD-11341,
ORD-11342,
ORD-11343,
ORD-11344,
ORD-11345,
ORD-11346,TIMING_DRIFT
ORD-11347,DUPLICATE_UTR
ORD-11348,
ORD-11349,
ORD-11350,
ORD-11351,
ORD-11352,
ORD-11353,
ORD-11354,
ORD-11355,
ORD-11356,TIMING_DRIFT
ORD-11357,
ORD-11358,
ORD-11359,
ORD-11360,
ORD-11361,
ORD-11362,
ORD-11363,
ORD-11364,
ORD-11365,DUPLICATE_UTR
ORD-11366,
ORD-11367,
ORD-11368,
ORD-11369,
ORD-11370,
ORD-11371,
ORD-11372,
ORD-11373,
ORD-11374,
ORD-11375,
ORD-11376,
ORD-11377,
ORD-11378,
ORD-11379,
ORD-11380,
ORD-11381,
ORD-11382,
ORD-11383,
ORD-11384,
ORD-11385,
ORD-11386,
ORD-11387,
ORD-11388,DUPLICATE_UTR
ORD-11389,
ORD-11390,
ORD-11391,
ORD-11392,DUPLICATE_UTR
ORD-11393,
ORD-11394,
ORD-11395,
ORD-11396,
ORD-11397,
ORD-11398,
ORD-11399,
ORD-11400,
ORD-11401,TIMING_DRIFT
ORD-11402,
ORD-11403,
ORD-11404,
ORD-11405,
ORD-11406,
ORD-11407,
ORD-11408,
ORD-11409,
ORD-11410,
ORD-11411,TIMING_DRIFT
ORD-11412,
ORD-11413,
ORD-11414,
ORD-11415,
ORD-11416,
ORD-11417,
ORD-11418,TIMING_DRIFT
ORD-11419,
ORD-11420,
ORD-11421,
ORD-11422,DUPLICATE_UTR
ORD-11423,
ORD-11424,
ORD-11425,
ORD-11426,
ORD-11427,
ORD-11428,DUPLICATE_UTR
ORD-11429,DUPLICATE_UTR
ORD-11430,
ORD-11431,
ORD-11432,
ORD-11433,
ORD-11434,
ORD-11435,
ORD-11436,
ORD-11437,
ORD-11438,
ORD-11439,
ORD-11440,TDS_MISMATCH
ORD-11441,SPLIT_SETTLEMENT
ORD-11442,
ORD-11443,
ORD-11444,
ORD-11445,
ORD-11446,DUPLICATE_UTR
ORD-11447,
ORD-11448,DUPLICATE_UTR
ORD-11449,
ORD-11450,
ORD-11451,
ORD-11452,
ORD-11453,DUPLICATE_UTR
