order_id,order_date,customer_id,gross_amount,payment_instrument,contracted_mdr_rate,refund_amount,refund_date,expected_mdr,expected_gst_on_mdr,expected_tds,expected_net_amount
ORD-10040,2026-01-19,CUST-3911,1623.41,Wallet,0.018,0.00,,29.22,5.26,16.23,1572.70
ORD-10041,2026-01-07,CUST-3385,12598.11,Card,0.02,0.00,,251.96,45.35,125.98,12174.82
ORD-10042,2026-01-18,CUST-6534,13184.62,UPI,0.00,0.00,,0.00,0.00,131.85,13052.77
ORD-10043,2026-01-26,CUST-9815,8416.97,UPI,0.00,0.00,,0.00,0.00,84.17,8332.80
ORD-10044,2026-01-16,CUST-5548,13526.19,Card,0.02,0.00,,270.52,48.69,135.26,13071.72
ORD-10045,2026-01-03,CUST-3255,13477.23,NetBanking,0.015,0.00,,202.16,36.39,134.77,13103.91
ORD-10046,2026-01-24,CUST-2648,2592.10,NetBanking,0.015,0.00,,38.88,7.00,25.92,2520.30
ORD-10047,2026-01-03,CUST-3557,14113.97,Wallet,0.018,0.00,,254.05,45.73,141.14,13673.05
ORD-10048,2026-01-14,CUST-5433,7387.08,UPI,0.00,0.00,,0.00,0.00,73.87,7313.21
ORD-10049,2026-01-04,CUST-9352,467.52,UPI,0.00,0.00,,0.00,0.00,4.68,462.84
ORD-10050,2026-01-24,CUST-7015,11213.72,Card,0.02,0.00,,224.27,40.37,112.14,10836.94
ORD-10051,2026-01-16,CUST-5555,7730.45,Card,0.02,0.00,,154.61,27.83,77.30,7470.71
ORD-10052,2026-01-30,CUST-4436,7403.78,Wallet,0.018,0.00,,133.27,23.99,74.04,7172.48
ORD-10053,2026-01-21,CUST-5893,9747.53,Card,0.02,0.00,,194.95,35.09,97.48,9420.01
ORD-10054,2026-01-28,CUST-8996,7588.06,Card,0.02,0.00,,151.76,27.32,75.88,7333.10
ORD-10055,2026-01-17,CUST-8339,14118.79,Wallet,0.018,0.00,,254.14,45.75,141.19,13677.71
ORD-10056,2026-01-03,CUST-2060,13939.11,UPI,0.00,0.00,,0.00,0.00,139.39,13799.72
ORD-10057,2026-01-03,CUST-1699,12824.54,UPI,0.00,0.00,,0.00,0.00,128.25,12696.29
ORD-10058,2026-01-23,CUST-2184,4890.45,UPI,0.00,0.00,,0.00,0.00,48.90,4841.55
ORD-10059,2026-01-22,CUST-1569,13964.25,UPI,0.00,0.00,,0.00,0.00,139.64,13824.61
ORD-10060,2026-01-15,CUST-2686,2273.24,UPI,0.00,0.00,,0.00,0.00,22.73,2250.51
ORD-10061,2026-01-17,CUST-9096,2222.00,Card,0.02,0.00,,44.44,8.00,22.22,2147.34
ORD-10062,2026-01-10,CUST-3806,6412.76,UPI,0.00,0.00,,0.00,0.00,64.13,6348.63
ORD-10063,2026-01-28,CUST-6625,276.74,Card,0.02,0.00,,5.53,1.00,2.77,267.44
ORD-10064,2026-01-08,CUST-7655,6072.40,UPI,0.00,0.00,,0.00,0.00,60.72,6011.68
ORD-10065,2026-01-15,CUST-6919,8758.55,UPI,0.00,0.00,,0.00,0.00,87.59,8670.96
ORD-10066,2026-01-30,CUST-2148,12616.22,NetBanking,0.015,0.00,,189.24,34.06,126.16,12266.76
ORD-10067,2026-01-10,CUST-4854,5530.82,UPI,0.00,0.00,,0.00,0.00,55.31,5475.51
ORD-10068,2026-01-21,CUST-6691,3394.15,Card,0.02,0.00,,67.88,12.22,33.94,3280.11
ORD-10069,2026-01-13,CUST-8027,6288.04,Card,0.02,0.00,,125.76,22.64,62.88,6076.76
ORD-10070,2026-01-16,CUST-5465,7841.25,UPI,0.00,0.00,,0.00,0.00,78.41,7762.84
ORD-10071,2026-01-19,CUST-6177,1361.15,UPI,0.00,0.00,,0.00,0.00,13.61,1347.54
ORD-10072,2026-01-23,CUST-2150,10500.42,UPI,0.00,0.00,,0.00,0.00,105.00,10395.42
ORD-10073,2026-01-01,CUST-8805,1589.32,UPI,0.00,0.00,,0.00,0.00,15.89,1573.43
ORD-10074,2026-01-01,CUST-4343,7847.10,Card,0.02,0.00,,156.94,28.25,78.47,7583.44
ORD-10075,2026-01-29,CUST-9130,3866.42,UPI,0.00,0.00,,0.00,0.00,38.66,3827.76
ORD-10076,2026-01-25,CUST-6188,1593.52,UPI,0.00,0.00,,0.00,0.00,15.94,1577.58
ORD-10077,2026-01-05,CUST-7617,7475.91,UPI,0.00,0.00,,0.00,0.00,74.76,7401.15
ORD-10078,2026-01-30,CUST-5452,6097.87,Card,0.02,0.00,,121.96,21.95,60.98,5892.98
ORD-10079,2026-01-02,CUST-8390,426.51,Wallet,0.018,0.00,,7.68,1.38,4.27,413.18
ORD-10080,2026-01-24,CUST-5611,9314.60,Wallet,0.018,0.00,,167.66,30.18,93.15,9023.61
ORD-10081,2026-01-28,CUST-7303,14115.41,Card,0.02,0.00,,282.31,50.82,141.15,13641.13
ORD-10082,2026-01-28,CUST-5000,12205.82,NetBanking,0.015,0.00,,183.09,32.96,122.06,11867.71
ORD-10083,2026-01-01,CUST-6536,9841.97,UPI,0.00,0.00,,0.00,0.00,98.42,9743.55
ORD-10084,2026-01-12,CUST-6726,5783.43,UPI,0.00,0.00,,0.00,0.00,57.83,5725.60
ORD-10085,2026-01-23,CUST-9967,5903.87,Card,0.02,0.00,,118.08,21.25,59.04,5705.50
ORD-10086,2026-01-19,CUST-9808,7541.35,Card,0.02,0.00,,150.83,27.15,75.41,7287.96
ORD-10087,2026-01-11,CUST-1412,779.96,UPI,0.00,0.00,,0.00,0.00,7.80,772.16
ORD-10088,2026-01-04,CUST-6988,11309.10,NetBanking,0.015,0.00,,169.64,30.54,113.09,10995.83
ORD-10089,2026-01-16,CUST-2571,5705.87,Card,0.02,0.00,,114.12,20.54,57.06,5514.15
ORD-10090,2026-01-30,CUST-4440,10261.70,Card,0.02,0.00,,205.23,36.94,102.62,9916.91
ORD-10091,2026-01-30,CUST-9787,12431.57,UPI,0.00,0.00,,0.00,0.00,124.32,12307.25
ORD-10092,2026-01-17,CUST-1395,14386.41,NetBanking,0.015,0.00,,215.80,38.84,143.86,13987.91
ORD-10093,2026-01-28,CUST-1717,10216.19,UPI,0.00,0.00,,0.00,0.00,102.16,10114.03
ORD-10094,2026-01-16,CUST-5980,1557.22,Card,0.02,0.00,,31.14,5.61,15.57,1504.90
ORD-10095,2026-01-21,CUST-8651,14203.68,Card,0.02,0.00,,284.07,51.13,142.04,13726.44
ORD-10096,2026-01-21,CUST-6161,14618.87,International Card,0.03,0.00,,438.57,78.94,146.19,13955.17
ORD-10097,2026-01-03,CUST-6334,8279.55,Card,0.02,0.00,,165.59,29.81,82.80,8001.35
ORD-10098,2026-01-09,CUST-8241,12587.07,NetBanking,0.015,0.00,,188.81,33.99,125.87,12238.40
ORD-10099,2026-01-14,CUST-2191,1276.89,NetBanking,0.015,0.00,,19.15,3.45,12.77,1241.52
ORD-10100,2026-01-05,CUST-7172,1455.60,International Card,0.03,0.00,,43.67,7.86,14.56,1389.51
ORD-10101,2026-01-01,CUST-2365,12229.43,Wallet,0.018,0.00,,220.13,39.62,122.29,11847.39
ORD-10102,2026-01-04,CUST-4141,10681.08,UPI,0.00,0.00,,0.00,0.00,106.81,10574.27
ORD-10103,2026-01-07,CUST-5186,3881.12,UPI,0.00,0.00,,0.00,0.00,38.81,3842.31
ORD-10104,2026-01-13,CUST-5748,6196.99,Card,0.02,0.00,,123.94,22.31,61.97,5988.77
ORD-10105,2026-01-08,CUST-4072,10279.38,UPI,0.00,0.00,,0.00,0.00,102.79,10176.59
ORD-10106,2026-01-28,CUST-8576,13055.27,UPI,0.00,0.00,,0.00,0.00,130.55,12924.72
ORD-10107,2026-01-12,CUST-7316,838.77,NetBanking,0.015,0.00,,12.58,2.26,8.39,815.54
ORD-10108,2026-01-11,CUST-6348,3944.25,Card,0.02,0.00,,78.89,14.20,39.44,3811.72
ORD-10109,2026-01-15,CUST-2256,3408.77,UPI,0.00,0.00,,0.00,0.00,34.09,3374.68
ORD-10110,2026-01-22,CUST-9053,5886.19,Card,0.02,0.00,,117.72,21.19,58.86,5688.42
ORD-10111,2026-01-10,CUST-6063,6038.92,UPI,0.00,0.00,,0.00,0.00,60.39,5978.53
ORD-10112,2026-01-26,CUST-7819,7062.74,UPI,0.00,0.00,,0.00,0.00,70.63,6992.11
ORD-10113,2026-01-28,CUST-5964,14621.04,International Card,0.03,0.00,,438.63,78.95,146.21,13957.25
ORD-10114,2026-01-17,CUST-6320,4781.01,NetBanking,0.015,0.00,,71.72,12.91,47.81,4648.57
ORD-10115,2026-01-29,CUST-2581,1327.77,Wallet,0.018,0.00,,23.90,4.30,13.28,1286.29
ORD-10116,2026-01-05,CUST-2838,13803.81,UPI,0.00,0.00,,0.00,0.00,138.04,13665.77
ORD-10117,2026-01-27,CUST-6124,590.23,UPI,0.00,0.00,,0.00,0.00,5.90,584.33
ORD-10118,2026-01-15,CUST-8449,5837.18,Wallet,0.018,0.00,,105.07,18.91,58.37,5654.83
ORD-10119,2026-01-13,CUST-5000,7136.66,UPI,0.00,0.00,,0.00,0.00,71.37,7065.29
ORD-10120,2026-01-16,CUST-3000,8108.32,Card,0.02,0.00,,162.17,29.19,81.08,7835.88
ORD-10121,2026-01-23,CUST-8140,10946.59,Card,0.02,0.00,,218.93,39.41,109.47,10578.78
ORD-10122,2026-01-21,CUST-8245,3234.67,UPI,0.00,0.00,,0.00,0.00,32.35,3202.32
ORD-10123,2026-01-04,CUST-6565,13197.67,Card,0.02,3092.69,2026-01-07,263.95,47.51,131.98,9661.54
ORD-10124,2026-01-26,CUST-1249,7900.55,Card,0.02,0.00,,158.01,28.44,79.01,7635.09
ORD-10125,2026-01-12,CUST-2077,14526.01,UPI,0.00,0.00,,0.00,0.00,145.26,14380.75
ORD-10126,2026-01-17,CUST-5719,7304.68,UPI,0.00,0.00,,0.00,0.00,73.05,7231.63
ORD-10127,2026-01-14,CUST-5673,12114.66,Wallet,0.018,0.00,,218.06,39.25,121.15,11736.20
ORD-10128,2026-01-02,CUST-7949,9199.70,Card,0.02,0.00,,183.99,33.12,92.00,8890.59
ORD-10129,2026-01-19,CUST-2331,8302.21,UPI,0.00,0.00,,0.00,0.00,83.02,8219.19
ORD-10130,2026-01-30,CUST-5854,7949.31,Card,0.02,0.00,,158.99,28.62,79.49,7682.21
ORD-10131,2026-01-10,CUST-7327,12662.95,Card,0.02,0.00,,253.26,45.59,126.63,12237.47
ORD-10132,2026-01-05,CUST-8941,7490.75,UPI,0.00,0.00,,0.00,0.00,74.91,7415.84
ORD-10133,2026-01-16,CUST-2906,8151.50,UPI,0.00,0.00,,0.00,0.00,81.52,8069.98
ORD-10134,2026-01-11,CUST-7031,9684.95,UPI,0.00,0.00,,0.00,0.00,96.85,9588.10
ORD-10135,2026-01-03,CUST-2887,7214.63,Card,0.02,0.00,,144.29,25.97,72.15,6972.22
ORD-10136,2026-01-26,CUST-8570,12362.50,UPI,0.00,0.00,,0.00,0.00,123.63,12238.87
ORD-10137,2026-01-22,CUST-7981,1985.41,UPI,0.00,0.00,,0.00,0.00,19.85,1965.56
ORD-10138,2026-01-02,CUST-8240,1565.90,UPI,0.00,0.00,,0.00,0.00,15.66,1550.24
ORD-10139,2026-01-24,CUST-7493,2523.27,UPI,0.00,1347.81,2026-01-29,0.00,0.00,25.23,1150.23
ORD-10140,2026-01-17,CUST-2276,14796.60,UPI,0.00,0.00,,0.00,0.00,147.97,14648.63
ORD-10141,2026-01-14,CUST-9150,8062.73,Card,0.02,0.00,,161.25,29.03,80.63,7791.82
ORD-10142,2026-01-27,CUST-6126,10370.05,NetBanking,0.015,0.00,,155.55,28.00,103.70,10082.80
ORD-10143,2026-01-28,CUST-9172,13034.78,UPI,0.00,0.00,,0.00,0.00,130.35,12904.43
ORD-10144,2026-01-25,CUST-6750,5783.81,UPI,0.00,0.00,,0.00,0.00,57.84,5725.97
ORD-10145,2026-01-07,CUST-7229,5046.96,UPI,0.00,0.00,,0.00,0.00,50.47,4996.49
ORD-10146,2026-01-20,CUST-7168,10250.71,Card,0.02,0.00,,205.01,36.90,102.51,9906.29
ORD-10147,2026-01-15,CUST-7371,8149.18,Card,0.02,0.00,,162.98,29.34,81.49,7875.37
ORD-10148,2026-01-17,CUST-7891,2088.19,UPI,0.00,0.00,,0.00,0.00,20.88,2067.31
ORD-10149,2026-01-26,CUST-2761,3816.43,UPI,0.00,0.00,,0.00,0.00,38.16,3778.27
ORD-10150,2026-01-25,CUST-2460,1706.38,UPI,0.00,0.00,,0.00,0.00,17.06,1689.32
ORD-10151,2026-01-04,CUST-7986,1500.74,NetBanking,0.015,0.00,,22.51,4.05,15.01,1459.17
ORD-10152,2026-01-09,CUST-9434,469.99,Card,0.02,0.00,,9.40,1.69,4.70,454.20
ORD-10153,2026-01-06,CUST-8489,8724.78,Wallet,0.018,5126.10,2026-01-08,157.05,28.27,87.25,3326.11
ORD-10154,2026-01-24,CUST-6560,10833.17,UPI,0.00,0.00,,0.00,0.00,108.33,10724.84
ORD-10155,2026-01-13,CUST-7469,14526.31,Card,0.02,0.00,,290.53,52.30,145.26,14038.22
ORD-10156,2026-01-20,CUST-5208,8041.63,Card,0.02,0.00,,160.83,28.95,80.42,7771.43
ORD-10157,2026-01-06,CUST-2828,7690.34,Wallet,0.018,0.00,,138.43,24.92,76.90,7450.09
ORD-10158,2026-01-03,CUST-4744,5664.61,UPI,0.00,0.00,,0.00,0.00,56.65,5607.96
ORD-10159,2026-01-10,CUST-3219,3185.61,Card,0.02,0.00,,63.71,11.47,31.86,3078.57
ORD-10160,2026-01-05,CUST-3832,1927.10,UPI,0.00,0.00,,0.00,0.00,19.27,1907.83
ORD-10161,2026-01-03,CUST-8984,12790.77,Card,0.02,0.00,,255.82,46.05,127.91,12360.99
ORD-10162,2026-01-21,CUST-9567,14865.76,UPI,0.00,0.00,,0.00,0.00,148.66,14717.10
ORD-10163,2026-01-01,CUST-6415,10879.63,UPI,0.00,0.00,,0.00,0.00,108.80,10770.83
ORD-10164,2026-01-11,CUST-7413,12033.15,NetBanking,0.015,0.00,,180.50,32.49,120.33,11699.83
ORD-10165,2026-01-19,CUST-8546,9579.63,Wallet,0.018,0.00,,172.43,31.04,95.80,9280.36
ORD-10166,2026-01-10,CUST-3136,10308.13,UPI,0.00,0.00,,0.00,0.00,103.08,10205.05
ORD-10167,2026-01-19,CUST-8804,4660.39,Card,0.02,0.00,,93.21,16.78,46.60,4503.80
ORD-10168,2026-01-25,CUST-3192,13513.70,UPI,0.00,0.00,,0.00,0.00,135.14,13378.56
ORD-10169,2026-01-08,CUST-5018,8234.17,UPI,0.00,0.00,,0.00,0.00,82.34,8151.83
ORD-10170,2026-01-19,CUST-9135,10467.02,UPI,0.00,0.00,,0.00,0.00,104.67,10362.35
ORD-10171,2026-01-01,CUST-9669,13429.61,Card,0.02,0.00,,268.59,48.35,134.30,12978.37
ORD-10172,2026-01-01,CUST-1950,2318.29,UPI,0.00,0.00,,0.00,0.00,23.18,2295.11
ORD-10173,2026-01-05,CUST-2865,5262.81,NetBanking,0.015,0.00,,78.94,14.21,52.63,5117.03
ORD-10174,2026-01-04,CUST-7359,9138.58,UPI,0.00,0.00,,0.00,0.00,91.39,9047.19
ORD-10175,2026-01-29,CUST-3371,10889.34,Card,0.02,0.00,,217.79,39.20,108.89,10523.46
ORD-10176,2026-01-19,CUST-1793,3926.63,UPI,0.00,0.00,,0.00,0.00,39.27,3887.36
ORD-10177,2026-01-10,CUST-7166,7037.69,Wallet,0.018,0.00,,126.68,22.80,70.38,6817.83
ORD-10178,2026-01-13,CUST-8783,7687.15,Card,0.02,4120.79,2026-01-19,153.74,27.67,76.87,3308.08
ORD-10179,2026-01-12,CUST-5451,13797.51,Card,0.02,5873.37,2026-01-13,275.95,49.67,137.98,7460.54
ORD-10180,2026-01-28,CUST-7024,6477.13,Card,0.02,0.00,,129.54,23.32,64.77,6259.50
ORD-10181,2026-01-22,CUST-2792,1875.92,International Card,0.03,0.00,,56.28,10.13,18.76,1790.75
ORD-10182,2026-01-22,CUST-4030,13828.46,NetBanking,0.015,0.00,,207.43,37.34,138.28,13445.41
ORD-10183,2026-01-08,CUST-3708,5813.72,Card,0.02,0.00,,116.27,20.93,58.14,5618.38
ORD-10184,2026-01-25,CUST-5212,9135.08,UPI,0.00,0.00,,0.00,0.00,91.35,9043.73
ORD-10185,2026-01-26,CUST-8973,5325.92,UPI,0.00,0.00,,0.00,0.00,53.26,5272.66
ORD-10186,2026-01-17,CUST-7783,3524.15,UPI,0.00,0.00,,0.00,0.00,35.24,3488.91
ORD-10187,2026-01-24,CUST-2990,2649.60,UPI,0.00,0.00,,0.00,0.00,26.50,2623.10
ORD-10188,2026-01-29,CUST-5757,3457.44,UPI,0.00,0.00,,0.00,0.00,34.57,3422.87
ORD-10189,2026-01-17,CUST-4432,2400.21,UPI,0.00,0.00,,0.00,0.00,24.00,2376.21
ORD-10190,2026-01-29,CUST-7704,4634.02,UPI,0.00,0.00,,0.00,0.00,46.34,4587.68
ORD-10191,2026-01-19,CUST-9058,12036.77,UPI,0.00,0.00,,0.00,0.00,120.37,11916.40
ORD-10192,2026-01-17,CUST-5524,5790.34,NetBanking,0.015,0.00,,86.86,15.63,57.90,5629.95
ORD-10193,2026-01-01,CUST-6490,6908.67,UPI,0.00,0.00,,0.00,0.00,69.09,6839.58
ORD-10194,2026-01-18,CUST-6797,11527.27,UPI,0.00,0.00,,0.00,0.00,115.27,11412.00
ORD-10195,2026-01-23,CUST-9038,11348.04,UPI,0.00,0.00,,0.00,0.00,113.48,11234.56
ORD-10196,2026-01-02,CUST-4451,12051.10,Wallet,0.018,0.00,,216.92,39.05,120.51,11674.62
ORD-10197,2026-01-07,CUST-1832,8365.49,UPI,0.00,0.00,,0.00,0.00,83.65,8281.84
ORD-10198,2026-01-29,CUST-9519,1740.81,Card,0.02,0.00,,34.82,6.27,17.41,1682.31
ORD-10199,2026-01-01,CUST-4675,3725.11,UPI,0.00,0.00,,0.00,0.00,37.25,3687.86
ORD-10200,2026-01-14,CUST-3538,14447.21,Wallet,0.018,0.00,,260.05,46.81,144.47,13995.88
ORD-10201,2026-01-14,CUST-1822,13465.77,UPI,0.00,0.00,,0.00,0.00,134.66,13331.11
ORD-10202,2026-01-23,CUST-5242,2017.10,NetBanking,0.015,0.00,,30.26,5.45,20.17,1961.22
ORD-10203,2026-01-18,CUST-9705,13677.24,Card,0.02,0.00,,273.54,49.24,136.77,13217.69
ORD-10204,2026-01-02,CUST-5566,706.58,NetBanking,0.015,0.00,,10.60,1.91,7.07,687.00
ORD-10205,2026-01-30,CUST-8083,3448.76,Wallet,0.018,0.00,,62.08,11.17,34.49,3341.02
ORD-10206,2026-01-17,CUST-3679,14783.44,UPI,0.00,0.00,,0.00,0.00,147.83,14635.61
ORD-10207,2026-01-18,CUST-4186,7784.37,Card,0.02,0.00,,155.69,28.02,77.84,7522.82
ORD-10208,2026-01-25,CUST-8368,2262.47,NetBanking,0.015,0.00,,33.94,6.11,22.62,2199.80
ORD-10209,2026-01-26,CUST-9996,472.18,Wallet,0.018,0.00,,8.50,1.53,4.72,457.43
ORD-10210,2026-01-04,CUST-9232,4256.02,Card,0.02,0.00,,85.12,15.32,42.56,4113.02
ORD-10211,2026-01-26,CUST-2622,1777.37,UPI,0.00,0.00,,0.00,0.00,17.77,1759.60
ORD-10212,2026-01-06,CUST-5263,3910.81,Card,0.02,0.00,,78.22,14.08,39.11,3779.40
ORD-10213,2026-01-10,CUST-3969,6184.85,Card,0.02,0.00,,123.70,22.27,61.85,5977.03
ORD-10214,2026-01-02,CUST-4067,14387.68,UPI,0.00,0.00,,0.00,0.00,143.88,14243.80
ORD-10215,2026-01-19,CUST-5124,5961.58,UPI,0.00,0.00,,0.00,0.00,59.62,5901.96
ORD-10216,2026-01-17,CUST-9378,4597.40,Card,0.02,0.00,,91.95,16.55,45.97,4442.93
ORD-10217,2026-01-15,CUST-3711,14065.08,Card,0.02,0.00,,281.30,50.63,140.65,13592.50
ORD-10218,2026-01-04,CUST-9942,4081.51,Card,0.02,0.00,,81.63,14.69,40.82,3944.37
ORD-10219,2026-01-30,CUST-8674,9033.27,UPI,0.00,0.00,,0.00,0.00,90.33,8942.94
ORD-10220,2026-01-21,CUST-3120,1312.04,Card,0.02,0.00,,26.24,4.72,13.12,1267.96
ORD-10221,2026-01-11,CUST-2639,6635.44,UPI,0.00,0.00,,0.00,0.00,66.35,6569.09
ORD-10222,2026-01-05,CUST-5203,10481.51,UPI,0.00,0.00,,0.00,0.00,104.82,10376.69
ORD-10223,2026-01-19,CUST-5090,14439.06,Card,0.02,0.00,,288.78,51.98,144.39,13953.91
ORD-10224,2026-01-17,CUST-8982,1483.24,Wallet,0.018,0.00,,26.70,4.81,14.83,1436.90
ORD-10225,2026-01-21,CUST-2750,10916.73,Card,0.02,0.00,,218.33,39.30,109.17,10549.93
ORD-10226,2026-01-18,CUST-6387,3473.90,International Card,0.03,0.00,,104.22,18.76,34.74,3316.18
ORD-10227,2026-01-15,CUST-5873,8906.30,International Card,0.03,0.00,,267.19,48.09,89.06,8501.96
ORD-10228,2026-01-22,CUST-1390,702.40,Card,0.02,0.00,,14.05,2.53,7.02,678.80
ORD-10229,2026-01-16,CUST-9007,14571.66,Wallet,0.018,0.00,,262.29,47.21,145.72,14116.44
ORD-10230,2026-01-30,CUST-3419,12699.33,UPI,0.00,0.00,,0.00,0.00,126.99,12572.34
ORD-10231,2026-01-17,CUST-8693,9024.79,UPI,0.00,0.00,,0.00,0.00,90.25,8934.54
ORD-10232,2026-01-02,CUST-1130,10505.07,UPI,0.00,0.00,,0.00,0.00,105.05,10400.02
ORD-10233,2026-01-12,CUST-9230,4866.30,UPI,0.00,0.00,,0.00,0.00,48.66,4817.64
ORD-10234,2026-01-25,CUST-8564,9463.19,NetBanking,0.015,0.00,,141.95,25.55,94.63,9201.06
ORD-10235,2026-01-30,CUST-9502,7036.75,International Card,0.03,1356.24,2026-02-03,211.10,38.00,70.37,5361.04
ORD-10236,2026-01-03,CUST-8206,340.38,UPI,0.00,0.00,,0.00,0.00,3.40,336.98
ORD-10237,2026-01-30,CUST-9436,7300.76,Card,0.02,0.00,,146.02,26.28,73.01,7055.45
ORD-10238,2026-01-25,CUST-5361,1557.15,UPI,0.00,0.00,,0.00,0.00,15.57,1541.58
ORD-10239,2026-01-01,CUST-4760,1835.02,UPI,0.00,0.00,,0.00,0.00,18.35,1816.67
ORD-10240,2026-01-04,CUST-1145,3657.39,UPI,0.00,2171.98,2026-01-05,0.00,0.00,36.57,1448.84
ORD-10241,2026-01-15,CUST-9056,10258.78,UPI,0.00,0.00,,0.00,0.00,102.59,10156.19
ORD-10242,2026-01-29,CUST-5805,14738.49,NetBanking,0.015,0.00,,221.08,39.79,147.38,14330.24
ORD-10243,2026-01-30,CUST-2868,14839.94,Card,0.02,0.00,,296.80,53.42,148.40,14341.32
ORD-10244,2026-01-08,CUST-8827,12599.82,UPI,0.00,0.00,,0.00,0.00,126.00,12473.82
ORD-10245,2026-01-14,CUST-8274,2812.61,UPI,0.00,0.00,,0.00,0.00,28.13,2784.48
ORD-10246,2026-01-03,CUST-4845,12051.39,Card,0.02,0.00,,241.03,43.39,120.51,11646.46
