settlement_id,settlement_date,order_id,claimed_gross_amount,claimed_mdr_amount,claimed_gst_on_mdr,claimed_tds,claimed_refund_deducted,claimed_net_amount
SET-20260119,2026-01-19,ORD-10094,1557.22,31.14,5.61,15.57,0.00,1504.90
SET-20260122,2026-01-22,ORD-10095,14203.68,284.07,51.13,142.04,0.00,13726.44
SET-20260122,2026-01-22,ORD-10096,14618.87,438.57,78.94,146.19,0.00,13955.17
SET-20260105,2026-01-05,ORD-10097,8279.55,165.59,29.81,82.80,0.00,8001.35
SET-20260112,2026-01-12,ORD-10098,12587.07,188.81,33.99,125.87,0.00,12238.40
SET-20260115,2026-01-15,ORD-10099,1276.89,19.15,3.45,12.77,0.00,1241.52
SET-20260106,2026-01-06,ORD-10100,1455.60,43.67,7.86,14.56,0.00,1389.51
SET-20260102,2026-01-02,ORD-10101,12229.43,220.13,39.62,122.29,0.00,11847.39
SET-20260105,2026-01-05,ORD-10102,10681.08,0.00,0.00,106.81,0.00,10574.27
SET-20260108,2026-01-08,ORD-10103,3881.12,0.00,0.00,38.81,0.00,3842.31
SET-20260114,2026-01-14,ORD-10104,6196.99,123.94,22.31,61.97,0.00,5988.77
SET-20260109,2026-01-09,ORD-10105,10279.38,0.00,0.00,102.79,0.00,10176.59
SET-20260129,2026-01-29,ORD-10106,13055.27,0.00,0.00,130.55,0.00,12924.72
SET-20260113,2026-01-13,ORD-10107,838.77,12.58,2.26,8.39,0.00,815.54
SET-20260112,2026-01-12,ORD-10108,3944.25,78.89,14.20,39.44,0.00,3811.72
SET-20260116,2026-01-16,ORD-10109,3408.77,0.00,0.00,34.09,0.00,3374.68
SET-20260123,2026-01-23,ORD-10110,5886.19,117.72,21.19,58.86,0.00,5688.42
SET-20260112,2026-01-12,ORD-10111,6038.92,0.00,0.00,60.39,0.00,5978.53
SET-20260127,2026-01-27,ORD-10112,7062.74,0.00,0.00,70.63,0.00,6992.11
SET-20260129,2026-01-29,ORD-10113,14621.04,438.63,78.95,146.21,0.00,13957.25
SET-20260119,2026-01-19,ORD-10114,4781.01,71.72,12.91,47.81,0.00,4648.57
SET-20260130,2026-01-30,ORD-10115,1327.77,23.90,4.30,13.28,0.00,1286.29
SET-20260106,2026-01-06,ORD-10116,13803.81,0.00,0.00,138.04,0.00,13665.77
SET-20260128,2026-01-28,ORD-10117,590.23,0.00,0.00,5.90,0.00,584.33
SET-20260116,2026-01-16,ORD-10118,5837.18,105.07,18.91,58.37,0.00,5654.83
SET-20260114,2026-01-14,ORD-10119,7136.66,178.42,0.00,71.37,0.00,7065.29
SET-20260119,2026-01-19,ORD-10120,8108.32,162.17,29.19,81.08,0.00,7835.88
SET-20260126,2026-01-26,ORD-10121,10946.59,218.93,39.41,109.47,0.00,10578.78
SET-20260122,2026-01-22,ORD-10122,3234.67,0.00,0.00,32.35,0.00,3202.32
SET-20260105,2026-01-05,ORD-10123,13197.67,263.95,47.51,131.98,3092.69,9661.54
SET-20260127,2026-01-27,ORD-10124,7900.55,158.01,28.44,79.01,0.00,7635.09
SET-20260113,2026-01-13,ORD-10125,14526.01,0.00,0.00,145.26,0.00,14380.75
SET-20260119,2026-01-19,ORD-10126,7304.68,0.00,0.00,73.05,0.00,7231.63
SET-20260115,2026-01-15,UNKNOWN-6177,12114.66,218.06,39.25,121.15,500.00,11736.20
SET-20260105,2026-01-05,ORD-10128,9199.70,183.99,33.12,92.00,0.00,8890.59
SET-20260120,2026-01-20,ORD-10129,8302.21,0.00,0.00,83.02,0.00,8219.19
SET-20260202,2026-02-02,ORD-10130,7949.31,158.99,28.62,79.49,0.00,7682.21
SET-20260112,2026-01-12,ORD-10131,12662.95,253.26,45.59,126.63,0.00,12237.47
SET-20260106,2026-01-06,ORD-10132,7490.75,0.00,0.00,74.91,0.00,7415.84
SET-20260119,2026-01-19,ORD-10133,8151.50,0.00,0.00,81.52,0.00,8069.98
SET-20260112,2026-01-12,ORD-10134,9684.95,0.00,0.00,96.85,0.00,9588.10
SET-20260105,2026-01-05,ORD-10135,7214.63,144.29,25.97,72.15,0.00,6972.22
SET-20260127,2026-01-27,ORD-10136,12362.50,0.00,0.00,123.63,0.00,12238.87
SET-20260123,2026-01-23,ORD-10137,1985.41,0.00,0.00,19.85,0.00,1965.56
SET-20260105,2026-01-05,ORD-10138,1565.90,0.00,0.00,15.66,0.00,1550.24
SET-20260126,2026-01-26,ORD-10139,2523.27,0.00,0.00,50.47,1347.81,1150.23
SET-20260119,2026-01-19,ORD-10140,14796.60,0.00,0.00,147.97,0.00,14648.63
SET-20260115,2026-01-15,ORD-10141,8062.73,161.25,29.03,80.63,0.00,7791.82
SET-20260128,2026-01-28,ORD-10142,10370.05,155.55,28.00,103.70,0.00,10082.80
SET-20260129,2026-01-29,ORD-10143,13034.78,0.00,0.00,130.35,0.00,12904.43
SET-20260126,2026-01-26,ORD-10144,5783.81,144.60,0.00,57.84,0.00,5725.97
SET-20260108,2026-01-08,ORD-10145,5046.96,0.00,0.00,50.47,0.00,4996.49
SET-20260121,2026-01-21,ORD-10146,10250.71,205.01,36.90,102.51,0.00,9906.29
SET-20260116,2026-01-16,ORD-10147,8149.18,162.98,29.34,81.49,0.00,7875.37
SET-20260119,2026-01-19,ORD-10148,2088.19,0.00,0.00,20.88,0.00,2067.31
SET-20260127,2026-01-27,ORD-10149,3816.43,0.00,0.00,38.16,0.00,3778.27
SET-20260126,2026-01-26,ORD-10150,1706.38,0.00,0.00,17.06,0.00,1689.32
SET-20260105,2026-01-05,ORD-10151,1500.74,22.51,4.05,15.01,0.00,1459.17
SET-20260112,2026-01-12,ORD-10152,469.99,9.40,1.69,4.70,0.00,227.10
SET-20260107,2026-01-07,ORD-10153,8724.78,157.05,28.27,87.25,5126.10,3326.11
SET-20260126,2026-01-26,ORD-10154,10833.17,0.00,0.00,108.33,0.00,10724.84
SET-20260114,2026-01-14,ORD-10155,14526.31,290.53,52.30,145.26,0.00,14038.22
SET-20260121,2026-01-21,ORD-10156,8041.63,160.83,28.95,80.42,0.00,7771.43
SET-20260107,2026-01-07,ORD-10157,7690.34,138.43,24.92,76.90,0.00,7450.09
SET-20260105,2026-01-05,ORD-10158,5664.61,0.00,0.00,56.65,0.00,5607.96
SET-20260112,2026-01-12,ORD-10159,3185.61,63.71,11.47,31.86,0.00,3078.57
SET-20260106,2026-01-06,ORD-10160,1927.10,0.00,0.00,19.27,0.00,1907.83
SET-20260105,2026-01-05,ORD-10161,12790.77,255.82,46.05,127.91,0.00,12360.99
SET-20260122,2026-01-22,ORD-10162,14865.76,0.00,0.00,148.66,0.00,14717.10
SET-20260102,2026-01-02,ORD-10163,10879.63,0.00,0.00,108.80,0.00,10770.83
SET-20260112,2026-01-12,ORD-10164,12033.15,180.50,32.49,120.33,0.00,11699.83
SET-20260120,2026-01-20,ORD-10165,9579.63,172.43,31.04,95.80,0.00,9280.36
SET-20260112,2026-01-12,ORD-10166,10308.13,0.00,0.00,103.08,0.00,10205.05
SET-20260120,2026-01-20,ORD-10167,4660.39,93.21,16.78,93.21,0.00,4503.80
SET-20260126,2026-01-26,ORD-10168,13513.70,0.00,0.00,135.14,0.00,13378.56
SET-20260109,2026-01-09,ORD-10169,8234.17,0.00,0.00,82.34,0.00,8151.83
SET-20260120,2026-01-20,ORD-10170,10467.02,0.00,0.00,104.67,0.00,10362.35
SET-20260102,2026-01-02,ORD-10171,13429.61,268.59,48.35,134.30,0.00,12978.37
SET-20260102,2026-01-02,ORD-10172,2318.29,0.00,0.00,23.18,0.00,2295.11
SET-20260106,2026-01-06,ORD-10173,5262.81,78.94,14.21,52.63,0.00,5117.03
SET-20260105,2026-01-05,ORD-10174,9138.58,0.00,0.00,91.39,0.00,9047.19
SET-20260130,2026-01-30,ORD-10175,10889.34,217.79,39.20,108.89,0.00,10523.46
SET-20260120,2026-01-20,ORD-10176,3926.63,0.00,0.00,39.27,0.00,3887.36
SET-20260112,2026-01-12,ORD-10177,7037.69,126.68,22.82,70.38,0.00,6817.83
SET-20260114,2026-01-14,ORD-10178,7687.15,153.74,27.67,76.87,4120.79,3308.08
SET-20260113,2026-01-13,ORD-10179,13797.51,275.95,49.67,137.98,5873.37,7460.54
SET-20260129,2026-01-29,ORD-10180,6477.13,129.54,23.32,64.77,0.00,6259.50
SET-20260123,2026-01-23,ORD-10181,1875.92,56.28,10.13,18.76,0.00,1790.75
SET-20260123,2026-01-23,ORD-10182,13828.46,207.43,37.34,138.28,0.00,13445.41
SET-20260109,2026-01-09,ORD-10183,5813.72,116.27,20.93,58.14,0.00,5618.38
SET-20260126,2026-01-26,ORD-10184,9135.08,0.00,0.00,91.35,0.00,9043.73
SET-20260127,2026-01-27,ORD-10185,5325.92,0.00,0.00,53.26,0.00,5272.66
SET-20260119,2026-01-19,ORD-10186,3524.15,0.00,0.00,35.24,0.00,3488.91
SET-20260126,2026-01-26,ORD-10187,2649.60,0.00,0.00,26.50,0.00,2623.10
SET-20260130,2026-01-30,ORD-10188,3457.44,0.00,0.00,34.57,0.00,3422.87
SET-20260119,2026-01-19,ORD-10189,2400.21,0.00,0.00,24.00,0.00,2376.21
SET-20260130,2026-01-30,ORD-10190,4634.02,0.00,0.00,46.34,0.00,4587.68
SET-20260120,2026-01-20,ORD-10191,12036.77,0.00,0.00,120.37,0.00,11916.40
SET-20260119,2026-01-19,ORD-10192,5790.34,86.86,15.63,57.90,0.00,5629.95
SET-20260102,2026-01-02,ORD-10193,6908.67,0.00,0.00,69.09,0.00,6839.58
SET-20260119,2026-01-19,ORD-10194,11527.27,0.00,0.00,115.27,0.00,11412.00
SET-20260126,2026-01-26,ORD-10195,11348.04,0.00,0.00,113.48,0.00,11234.56
SET-20260105,2026-01-05,ORD-10196,12051.10,216.92,39.05,120.51,0.00,11674.62
SET-20260108,2026-01-08,ORD-10197,8365.49,0.00,0.00,83.65,0.00,8281.84
SET-20260130,2026-01-30,ORD-10198,1740.81,34.82,6.27,17.41,0.00,1682.31
SET-20260102,2026-01-02,ORD-10199,3725.11,0.00,0.00,37.25,0.00,3687.86
SET-20260115,2026-01-15,ORD-10200,14447.21,260.05,46.81,144.47,0.00,13995.88
SET-20260115,2026-01-15,ORD-10201,13465.77,0.00,0.00,134.66,0.00,13331.11
SET-20260126,2026-01-26,ORD-10202,2017.10,30.26,5.45,20.17,0.00,1961.22
SET-20260119,2026-01-19,ORD-10203,13677.24,273.54,49.24,136.77,0.00,13217.69
SET-20260105,2026-01-05,ORD-10204,706.58,10.60,1.91,7.07,0.00,687.00
SET-20260202,2026-02-02,ORD-10205,3448.76,62.08,11.17,34.49,0.00,3341.02
SET-20260119,2026-01-19,ORD-10206,14783.44,0.00,0.00,147.83,0.00,14635.61
SET-20260119,2026-01-19,ORD-10207,7784.37,155.69,28.02,77.84,0.00,7522.82
SET-20260126,2026-01-26,ORD-10208,2262.47,33.94,6.11,22.62,0.00,2199.80
SET-20260127,2026-01-27,ORD-10209,472.18,8.50,1.53,4.72,0.00,457.43
SET-20260105,2026-01-05,ORD-10210,4256.02,85.12,15.32,42.56,0.00,4113.02
SET-20260127,2026-01-27,ORD-10211,1777.37,0.00,0.00,17.77,0.00,1759.60
SET-20260107,2026-01-07,ORD-10212,3910.81,78.22,14.08,39.11,0.00,3779.40
SET-20260112,2026-01-12,ORD-10213,6184.85,123.70,22.27,61.85,0.00,5977.03
SET-20260105,2026-01-05,ORD-10214,14387.68,0.00,0.00,143.88,0.00,14243.80
SET-20260120,2026-01-20,ORD-10215,5961.58,0.00,0.00,59.62,0.00,5901.96
SET-20260119,2026-01-19,ORD-10216,4597.40,91.95,16.55,45.97,0.00,4442.93
SET-20260116,2026-01-16,ORD-10217,14065.08,281.30,50.63,140.65,0.00,13592.50
SET-20260105,2026-01-05,ORD-10218,4081.51,81.63,14.69,40.82,0.00,3944.37
SET-20260202,2026-02-02,ORD-10219,9033.27,0.00,0.00,90.33,0.00,8942.94
SET-20260122,2026-01-22,ORD-10220,1312.04,26.24,4.72,13.12,0.00,1267.96
SET-20260112,2026-01-12,ORD-10221,6635.44,0.00,0.00,66.35,0.00,6569.09
SET-20260106,2026-01-06,ORD-10222,10481.51,0.00,0.00,104.82,0.00,10376.69
SET-20260120,2026-01-20,ORD-10223,14439.06,288.78,51.98,144.39,0.00,13953.91
SET-20260119,2026-01-19,ORD-10224,1483.24,26.70,4.81,14.83,0.00,1436.90
SET-20260122,2026-01-22,ORD-10225,10916.73,218.33,39.30,109.17,0.00,10549.93
SET-20260119,2026-01-19,ORD-10226,3473.90,104.22,18.76,34.74,0.00,3316.18
SET-20260116,2026-01-16,ORD-10227,8906.30,267.19,48.09,89.06,0.00,8501.96
SET-20260123,2026-01-23,ORD-10228,702.40,14.05,2.53,7.02,0.00,678.80
SET-20260119,2026-01-19,ORD-10229,14571.66,262.29,47.21,145.72,0.00,14116.44
SET-20260202,2026-02-02,ORD-10230,12699.33,0.00,0.00,126.99,0.00,12572.34
SET-20260119,2026-01-19,ORD-10231,9024.79,0.00,0.00,90.25,0.00,8934.54
SET-20260105,2026-01-05,ORD-10232,10505.07,0.00,0.00,105.05,0.00,10400.02
SET-20260113,2026-01-13,ORD-10233,4866.30,0.00,0.00,48.66,0.00,4817.64
SET-20260126,2026-01-26,ORD-10234,9463.19,141.95,25.55,94.63,0.00,9201.06
SET-20260202,2026-02-02,ORD-10235,7036.75,211.10,38.00,70.37,1356.24,5361.04
SET-20260105,2026-01-05,ORD-10236,340.38,8.51,0.00,3.40,0.00,336.98
SET-20260202,2026-02-02,ORD-10237,7300.76,146.02,26.28,73.01,0.00,7055.45
SET-20260126,2026-01-26,ORD-10238,1557.15,0.00,0.00,15.57,0.00,1541.58
SET-20260102,2026-01-02,ORD-10239,1835.02,0.00,0.00,18.35,0.00,1816.67
SET-20260105,2026-01-05,ORD-10240,3657.39,0.00,0.00,36.57,2171.98,1448.84
SET-20260116,2026-01-16,ORD-10241,10258.78,0.00,0.00,102.59,0.00,10156.19
SET-20260130,2026-01-30,ORD-10242,14738.49,221.08,39.79,147.38,0.00,14330.24
SET-20260202,2026-02-02,ORD-10243,14839.94,296.80,53.42,148.40,0.00,14341.32
SET-20260109,2026-01-09,ORD-10244,12599.82,0.00,0.00,126.00,0.00,12473.82
SET-20260115,2026-01-15,ORD-10245,2812.61,0.00,0.00,28.13,0.00,2784.48
SET-20260105,2026-01-05,ORD-10246,12051.39,241.03,43.39,120.51,0.00,11646.46
SET-20260112,2026-01-12,ORD-10247,7970.47,0.00,0.00,79.70,0.00,7890.77
SET-20260119,2026-01-19,ORD-10248,2477.66,37.16,6.69,24.78,0.00,2409.03
SET-20260126,2026-01-26,ORD-10249,8147.22,162.94,29.33,81.47,0.00,7873.48
SET-20260105,2026-01-05,ORD-10250,13186.42,0.00,0.00,131.86,0.00,13054.56
SET-20260112,2026-01-12,ORD-10251,14343.64,215.15,38.73,143.44,0.00,13946.32
SET-20260109,2026-01-09,ORD-10252,4364.59,0.00,0.00,43.65,1954.71,2366.23
SET-20260127,2026-01-27,ORD-10253,3458.71,69.17,12.45,34.59,0.00,3342.50
SET-20260119,2026-01-19,ORD-10254,7528.17,0.00,0.00,75.28,0.00,7452.89
SET-20260127,2026-01-27,ORD-10255,9999.26,0.00,0.00,99.99,0.00,9899.27
SET-20260102,2026-01-02,ORD-10256,12001.91,240.04,43.21,120.02,0.00,11598.64
SET-20260128,2026-01-28,ORD-10257,5143.33,0.00,0.00,51.43,0.00,5091.90
SET-20260105,2026-01-05,ORD-10258,10545.06,0.00,0.00,105.45,0.00,10439.61
SET-20260114,2026-01-14,ORD-10259,632.86,9.49,1.71,6.33,0.00,615.33
SET-20260112,2026-01-12,ORD-10260,13648.78,0.00,0.00,136.49,0.00,13512.29
SET-20260114,2026-01-14,ORD-10261,3058.37,0.00,0.00,30.58,0.00,3027.79
SET-20260112,2026-01-12,ORD-10262,1914.49,0.00,0.00,19.14,975.13,920.22
SET-20260107,2026-01-07,ORD-10263,14452.28,0.00,0.00,144.52,0.00,14307.76
SET-20260202,2026-02-02,ORD-10264,11874.34,0.00,0.00,118.74,0.00,11755.60
SET-20260105,2026-01-05,ORD-10265,11610.57,232.21,41.80,116.11,0.00,11220.45
SET-20260123,2026-01-23,ORD-10266,1305.48,19.58,3.52,13.05,0.00,1269.33
SET-20260116,2026-01-16,ORD-10267,6800.18,136.00,24.48,68.00,0.00,6571.70
SET-20260113,2026-01-13,ORD-10268,1171.27,17.57,3.16,11.71,0.00,1138.83
SET-20260120,2026-01-20,ORD-10269,14175.69,0.00,0.00,141.76,0.00,14033.93
SET-20260116,2026-01-16,ORD-10270,10466.50,0.00,0.00,104.67,0.00,10361.83
SET-20260115,2026-01-15,ORD-10271,9886.77,0.00,0.00,98.87,0.00,9787.90
SET-20260113,2026-01-13,ORD-10272,14165.52,0.00,0.00,141.66,0.00,14023.86
SET-20260107,2026-01-07,ORD-10273,4258.38,127.75,23.00,42.58,0.00,4065.05
SET-20260129,2026-01-29,ORD-10274,3603.33,0.00,0.00,36.03,1534.42,2032.88
SET-20260119,2026-01-19,ORD-10275,7178.68,0.00,0.00,71.79,0.00,7106.89
SET-20260126,2026-01-26,ORD-10276,1549.23,0.00,0.00,15.49,0.00,1533.74
SET-20260119,2026-01-19,ORD-10277,9468.06,0.00,0.00,94.68,5306.13,4067.25
SET-20260121,2026-01-21,ORD-10278,7039.04,0.00,0.00,70.39,0.00,6968.65
SET-20260202,2026-02-02,ORD-10279,6568.53,0.00,0.00,65.69,0.00,6502.84
SET-20260123,2026-01-23,ORD-10280,5023.70,100.47,18.08,50.24,0.00,4854.91
SET-20260114,2026-01-14,ORD-10281,7076.06,141.52,25.47,70.76,0.00,6838.31
SET-20260116,2026-01-16,ORD-10282,4516.61,90.33,16.26,45.17,0.00,4364.85
SET-20260107,2026-01-07,ORD-10283,786.36,0.00,0.00,7.86,0.00,778.50
SET-20260119,2026-01-19,ORD-10284,14802.61,0.00,0.00,148.03,0.00,14654.58
SET-20260123,2026-01-23,ORD-10285,8482.80,0.00,0.00,84.83,0.00,8397.97
SET-20260105,2026-01-05,ORD-10286,1500.42,0.00,0.00,15.00,208.99,1276.43
SET-20260108,2026-01-08,ORD-10287,3172.71,63.45,11.42,31.73,0.00,1533.06
SET-20260112,2026-01-12,ORD-10288,1747.60,34.95,6.29,17.48,0.00,1688.88
SET-20260107,2026-01-07,ORD-10289,14055.94,0.00,0.00,140.56,0.00,13915.38
SET-20260119,2026-01-19,ORD-10290,13090.34,261.81,47.13,130.90,0.00,12650.50
SET-20260202,2026-02-02,ORD-10291,7369.10,147.38,26.53,73.69,0.00,7121.50
SET-20260107,2026-01-07,ORD-10292,6894.31,137.89,24.82,68.94,0.00,6662.66
SET-20260112,2026-01-12,ORD-10293,1408.12,0.00,0.00,14.08,0.00,1394.04
SET-20260114,2026-01-14,ORD-10294,13102.40,0.00,0.00,131.02,0.00,12971.38
